Adresse,Smartscore,Win Rate,Markets,Realized PnL,Latest Activity Type,Latest Market,Latest Value,Latest Date,Positions Count,Active Orders Count,Recent Trades Count,Total Position Value,Largest Position Market,Largest Position Value,Most Recent Trade Market,Most Recent Trade Value,Most Recent Trade Date,Most Recent Order Market,Most Recent Order Value,Most Recent Order Date,Analysis Date,Bucket smart,Bucket last date
0x43440ab002eaac9fede6f9d21bea96d84228f90d,12.99645723,0.7164480323,991,89792.02702,trade,Market 0x027eeeab...,$42.94,2025-10-14 17:23:51,81,0,20,$0.00,No positions,$0.00,Market 0x027eeeab...,$42.94,2025-10-14 17:23:51,No orders,$0.00,N/A,2025-10-15T13:04:50.115680+00:00,Very Smart,daily trader
0x43440ab002eaac9fede6f9d21bea96d84228f90d,12.99645723,0.7164480323,991,89792.02702,trade,Market 0x027eeeab...,$42.94,2025-10-14 17:23:51,81,0,20,$0.00,No positions,$0.00,Market 0x027eeeab...,$42.94,2025-10-14 17:23:51,No orders,$0.00,N/A,2025-10-15T13:14:50.452506+00:00,Very Smart,daily trader
0x43440ab002eaac9fede6f9d21bea96d84228f90d,12.99645723,0.7164480323,991,89792.02702,trade,Market 0x027eeeab...,$42.94,2025-10-14 17:23:51,81,0,20,$0.00,No positions,$0.00,Market 0x027eeeab...,$42.94,2025-10-14 17:23:51,No orders,$0.00,N/A,2025-10-15T13:19:12.145293+00:00,Very Smart,daily trader
0x9c09fed884937c43fc65e26460f613cc4f2cc9b4,13.27403328,0.5517241379,145,24679.24905,trade,Market 0xdd9c92e5...,$1200.06,2025-10-14 16:47:41,28,0,20,$0.00,No positions,$0.00,Market 0xdd9c92e5...,$1200.06,2025-10-14 16:47:41,No orders,$0.00,N/A,2025-10-15T13:08:01.512825+00:00,Very Smart,daily trader
0x9c09fed884937c43fc65e26460f613cc4f2cc9b4,13.27403328,0.5517241379,145,24679.24905,trade,Market 0xdd9c92e5...,$1200.06,2025-10-14 16:47:41,28,0,20,$0.00,No positions,$0.00,Market 0xdd9c92e5...,$1200.06,2025-10-14 16:47:41,No orders,$0.00,N/A,2025-10-15T13:14:42.126343+00:00,Very Smart,daily trader
0x9c09fed884937c43fc65e26460f613cc4f2cc9b4,13.27403328,0.5517241379,145,24679.24905,trade,Market 0xdd9c92e5...,$1200.06,2025-10-14 16:47:41,28,0,20,$0.00,No positions,$0.00,Market 0xdd9c92e5...,$1200.06,2025-10-14 16:47:41,No orders,$0.00,N/A,2025-10-15T13:19:04.262580+00:00,Very Smart,daily trader
0xb99cc97b541d5a30c92156ef53cfe44cbf1addb6,11.5694875,0.7142857143,14,20135.64698,trade,Market 0x3d056d0e...,$2.50,2025-10-14 16:09:37,4,0,8,$0.00,No positions,$0.00,Market 0x3d056d0e...,$2.50,2025-10-14 16:09:37,No orders,$0.00,N/A,2025-10-15T13:15:20.047967+00:00,Very Smart,daily trader
0xb99cc97b541d5a30c92156ef53cfe44cbf1addb6,11.5694875,0.7142857143,14,20135.64698,trade,Market 0x3d056d0e...,$2.50,2025-10-14 16:09:37,4,0,8,$0.00,No positions,$0.00,Market 0x3d056d0e...,$2.50,2025-10-14 16:09:37,No orders,$0.00,N/A,2025-10-15T13:19:41.627629+00:00,Very Smart,daily trader
0xf3b298ff40b3ef0ba85cc4a5b19b3bf46d393b2b,13.4392252,0.7692307692,13,14831.34549,trade,Market 0x5a62e246...,$25.34,2025-10-14 15:57:57,2,0,20,$0.00,No positions,$0.00,Market 0x5a62e246...,$25.34,2025-10-14 15:57:57,No orders,$0.00,N/A,2025-10-15T13:14:38.682097+00:00,Very Smart,daily trader
0xf3b298ff40b3ef0ba85cc4a5b19b3bf46d393b2b,13.4392252,0.7692307692,13,14831.34549,trade,Market 0x5a62e246...,$25.34,2025-10-14 15:57:57,2,0,20,$0.00,No positions,$0.00,Market 0x5a62e246...,$25.34,2025-10-14 15:57:57,No orders,$0.00,N/A,2025-10-15T13:19:00.755050+00:00,Very Smart,daily trader
0x2ac130ba3b2a5fcff85c62afe18760f45db345db,12.00295664,0.582278481,79,27730.45775,trade,Market 0x9e0b2afd...,$5548.62,2025-10-14 15:37:57,3,0,20,$0.00,No positions,$0.00,Market 0x9e0b2afd...,$5548.62,2025-10-14 15:37:57,No orders,$0.00,N/A,2025-10-15T13:15:09.079350+00:00,Very Smart,daily trader
0x2ac130ba3b2a5fcff85c62afe18760f45db345db,12.00295664,0.582278481,79,27730.45775,trade,Market 0x9e0b2afd...,$5548.62,2025-10-14 15:37:57,3,0,20,$0.00,No positions,$0.00,Market 0x9e0b2afd...,$5548.62,2025-10-14 15:37:57,No orders,$0.00,N/A,2025-10-15T13:19:30.472970+00:00,Very Smart,daily trader
0x42204af33840917883ebd991a4589a558cc1f5b1,11.29863908,0.6470588235,17,19504.293,trade,Market 0xcfb38ae4...,$475.00,2025-10-14 14:22:07,6,0,8,$0.00,No positions,$0.00,Market 0xcfb38ae4...,$475.00,2025-10-14 14:22:07,No orders,$0.00,N/A,2025-10-15T13:15:28.584479+00:00,Very Smart,daily trader
0x42204af33840917883ebd991a4589a558cc1f5b1,11.29863908,0.6470588235,17,19504.293,trade,Market 0xcfb38ae4...,$475.00,2025-10-14 14:22:07,6,0,8,$0.00,No positions,$0.00,Market 0xcfb38ae4...,$475.00,2025-10-14 14:22:07,No orders,$0.00,N/A,2025-10-15T13:19:49.883456+00:00,Very Smart,daily trader
0xf59fe344fb8af90a14bd6f2fe62430e56dc03be9,18.89925499,0.5797101449,621,60465.07375,trade,Market 0x377e97f2...,$45.00,2025-10-14 13:02:11,48,0,20,$0.00,No positions,$0.00,Market 0x377e97f2...,$45.00,2025-10-14 13:02:11,No orders,$0.00,N/A,2025-10-15T13:05:31.112211+00:00,Very Smart,daily trader
0xf59fe344fb8af90a14bd6f2fe62430e56dc03be9,18.89925499,0.5797101449,621,60465.07375,trade,Market 0x377e97f2...,$45.00,2025-10-14 13:02:11,48,0,20,$0.00,No positions,$0.00,Market 0x377e97f2...,$45.00,2025-10-14 13:02:11,No orders,$0.00,N/A,2025-10-15T13:17:53.806104+00:00,Very Smart,daily trader
0xd1ee4e620f998f69e7400a25b562543e4b3f0211,12.64259813,0.5789473684,19,9955,trade,Market 0xa80b8d30...,$3700.00,2025-10-14 12:49:05,7,0,17,$0.00,No positions,$0.00,Market 0xa80b8d30...,$3700.00,2025-10-14 12:49:05,No orders,$0.00,N/A,2025-10-15T13:14:56.313385+00:00,Very Smart,daily trader
0xd1ee4e620f998f69e7400a25b562543e4b3f0211,12.64259813,0.5789473684,19,9955,trade,Market 0xa80b8d30...,$3700.00,2025-10-14 12:49:05,7,0,17,$0.00,No positions,$0.00,Market 0xa80b8d30...,$3700.00,2025-10-14 12:49:05,No orders,$0.00,N/A,2025-10-15T13:19:17.960336+00:00,Very Smart,daily trader
0x65497bf9d0e70daf90cac027163e442d86f7f741,12.59153514,0.5833333333,24,9915,trade,Market 0xa80b8d30...,$3700.00,2025-10-14 12:48:55,9,0,20,$0.00,No positions,$0.00,Market 0xa80b8d30...,$3700.00,2025-10-14 12:48:55,No orders,$0.00,N/A,2025-10-15T13:14:57.440335+00:00,Very Smart,daily trader
0x65497bf9d0e70daf90cac027163e442d86f7f741,12.59153514,0.5833333333,24,9915,trade,Market 0xa80b8d30...,$3700.00,2025-10-14 12:48:55,9,0,20,$0.00,No positions,$0.00,Market 0xa80b8d30...,$3700.00,2025-10-14 12:48:55,No orders,$0.00,N/A,2025-10-15T13:19:18.910984+00:00,Very Smart,daily trader
0xcdd855931c30d329521ef05a88aec396fe0c4e19,11.20673128,0.5833333333,12,13127.44239,trade,Market 0xbf52f05b...,$18.81,2025-10-14 12:15:25,9,0,20,$0.00,No positions,$0.00,Market 0xbf52f05b...,$18.81,2025-10-14 12:15:25,No orders,$0.00,N/A,2025-10-15T13:15:33.458619+00:00,Very Smart,daily trader
0xcdd855931c30d329521ef05a88aec396fe0c4e19,11.20673128,0.5833333333,12,13127.44239,trade,Market 0xbf52f05b...,$18.81,2025-10-14 12:15:25,9,0,20,$0.00,No positions,$0.00,Market 0xbf52f05b...,$18.81,2025-10-14 12:15:25,No orders,$0.00,N/A,2025-10-15T13:19:54.670843+00:00,Very Smart,daily trader
0x4365cd00b64437717006a0a81e165717988de242,12.6020796,0.6666666667,15,19827,trade,Market 0xf742a570...,$5025.00,2025-10-14 09:51:15,5,0,7,$0.00,No positions,$0.00,Market 0xf742a570...,$5025.00,2025-10-14 09:51:15,No orders,$0.00,N/A,2025-10-15T13:14:56.781386+00:00,Very Smart,daily trader
0x4365cd00b64437717006a0a81e165717988de242,12.6020796,0.6666666667,15,19827,trade,Market 0xf742a570...,$5025.00,2025-10-14 09:51:15,5,0,7,$0.00,No positions,$0.00,Market 0xf742a570...,$5025.00,2025-10-14 09:51:15,No orders,$0.00,N/A,2025-10-15T13:19:18.433946+00:00,Very Smart,daily trader
0xf8ccc51356ad11e3d884f4beeaca81bb08fe028a,44.2058911,0.6026200873,1603,9359.842533,trade,Market 0x021e618c...,$0.28,2025-10-14 09:22:03,100,0,20,$0.00,No positions,$0.00,Market 0x021e618c...,$0.28,2025-10-14 09:22:03,No orders,$0.00,N/A,2025-10-15T13:04:20.940633+00:00,Very Smart,daily trader
0xf8ccc51356ad11e3d884f4beeaca81bb08fe028a,44.2058911,0.6026200873,1603,9359.842533,trade,Market 0x021e618c...,$0.28,2025-10-14 09:22:03,100,0,20,$0.00,No positions,$0.00,Market 0x021e618c...,$0.28,2025-10-14 09:22:03,No orders,$0.00,N/A,2025-10-15T13:17:19.771454+00:00,Very Smart,daily trader
0x90a0774c37e43c03116917adf3563aee1eb67e0a,26.49239219,0.7100271003,369,7295.513473,trade,Market 0xd454b718...,$3.65,2025-10-14 05:17:41,22,0,20,$0.00,No positions,$0.00,Market 0xd454b718...,$3.65,2025-10-14 05:17:41,No orders,$0.00,N/A,2025-10-15T13:06:16.857248+00:00,Very Smart,daily trader
0x90a0774c37e43c03116917adf3563aee1eb67e0a,26.49239219,0.7100271003,369,7295.513473,trade,Market 0xd454b718...,$3.65,2025-10-14 05:17:41,22,0,20,$0.00,No positions,$0.00,Market 0xd454b718...,$3.65,2025-10-14 05:17:41,No orders,$0.00,N/A,2025-10-15T13:17:28.726768+00:00,Very Smart,daily trader
0xcacf2bf1906bb3c74a0e0453bfb91f1374e335ff,99,0.5404011461,3490,18577.22871,trade,Market 0x626a49d9...,$0.59,2025-10-14 04:09:33,100,0,20,$0.00,No positions,$0.00,Market 0x626a49d9...,$0.59,2025-10-14 04:09:33,No orders,$0.00,N/A,2025-10-15T13:17:13.864682+00:00,Very Smart,daily trader
0x098eddabb2d388f31e79aaf525e49588f22a6fa2,14.6810244,0.559101915,4543,38310.3237,trade,Market 0xa56ac5f7...,$59.62,2025-10-14 03:07:59,100,0,20,$0.00,No positions,$0.00,Market 0xa56ac5f7...,$59.62,2025-10-14 03:07:59,No orders,$0.00,N/A,2025-10-15T13:03:49.816589+00:00,Very Smart,daily trader
0x098eddabb2d388f31e79aaf525e49588f22a6fa2,14.6810244,0.559101915,4543,38310.3237,trade,Market 0xa56ac5f7...,$59.62,2025-10-14 03:07:59,100,0,20,$0.00,No positions,$0.00,Market 0xa56ac5f7...,$59.62,2025-10-14 03:07:59,No orders,$0.00,N/A,2025-10-15T13:18:41.903329+00:00,Very Smart,daily trader
0x68df8708aadb901618f11abf2471805a66a24815,15.05626659,0.5652173913,46,226262.3491,trade,Market 0x51955505...,$629.75,2025-10-14 00:52:13,22,0,20,$0.00,No positions,$0.00,Market 0x51955505...,$629.75,2025-10-14 00:52:13,No orders,$0.00,N/A,2025-10-15T13:18:29.197848+00:00,Very Smart,daily trader
0x1a382b80464f4a0ccb0b1882eb3cb4861dac8fb5,17.94915872,0.6538461538,26,17347.42426,trade,Market 0x4a4744b6...,$2000.00,2025-10-14 00:15:41,9,0,20,$0.00,No positions,$0.00,Market 0x4a4744b6...,$2000.00,2025-10-14 00:15:41,No orders,$0.00,N/A,2025-10-15T13:17:59.731212+00:00,Very Smart,daily trader
0xb96c242c89095060344ea18969a83aa7d6c66cc6,13.86485481,0.5434782609,92,14778.10132,trade,Market 0x0307106f...,$1012.00,2025-10-13 20:24:53,42,0,20,$0.00,No positions,$0.00,Market 0x0307106f...,$1012.00,2025-10-13 20:24:53,No orders,$0.00,N/A,2025-10-15T13:18:54.280894+00:00,Very Smart,daily trader
0xde8cf970a53b775396fc5675aae60ddb05e24f5c,11.46282567,0.64,25,19790.24965,trade,Market 0x761ff66c...,$9941.50,2025-10-13 17:00:01,6,0,20,$0.00,No positions,$0.00,Market 0x761ff66c...,$9941.50,2025-10-13 17:00:01,No orders,$0.00,N/A,2025-10-15T13:15:25.092425+00:00,Very Smart,daily trader
0xde8cf970a53b775396fc5675aae60ddb05e24f5c,11.46282567,0.64,25,19790.24965,trade,Market 0x761ff66c...,$9941.50,2025-10-13 17:00:01,6,0,20,$0.00,No positions,$0.00,Market 0x761ff66c...,$9941.50,2025-10-13 17:00:01,No orders,$0.00,N/A,2025-10-15T13:19:46.522421+00:00,Very Smart,daily trader
0x6ef281289c5a7958deec0d5f30cef92273309d0d,13.1570116,0.6470588235,17,21699.09891,trade,Market 0x5696c1ef...,$128.91,2025-10-13 16:41:55,5,0,13,$0.00,No positions,$0.00,Market 0x5696c1ef...,$128.91,2025-10-13 16:41:55,No orders,$0.00,N/A,2025-10-15T13:14:45.617512+00:00,Very Smart,daily trader
0x6ef281289c5a7958deec0d5f30cef92273309d0d,13.1570116,0.6470588235,17,21699.09891,trade,Market 0x5696c1ef...,$128.91,2025-10-13 16:41:55,5,0,13,$0.00,No positions,$0.00,Market 0x5696c1ef...,$128.91,2025-10-13 16:41:55,No orders,$0.00,N/A,2025-10-15T13:19:07.787142+00:00,Very Smart,daily trader
