User,Adresse,Smartscore,Win Rate,Markets,Realized PnL,Latest Activity Type,Latest Market,Latest Value,Latest Date,Positions Count,Active Orders Count,Recent Trades Count,Total Position Value,Largest Position Market,Largest Position Value,Most Recent Trade Market,Most Recent Trade Value,Most Recent Trade Date,Most Recent Order Market,Most Recent Order Value,Most Recent Order Date,Analysis Date,Bucket smart,Bucket last date
https://hashdive.com/Analyze_User?user_address=0x40ac589b783cfff033c0f7026b63d0a24c23ee4b,0xbb8e6477bcb4d0a79449507c607d36fd228fb243,2.567532582,0.5621621622,185,65198.15685,trade,Market 0x8e9b6942...,$111.93,2025-10-15 00:13:39,50,0,20,$0.00,No positions,$0.00,Market 0x8e9b6942...,$111.93,2025-10-15 00:13:39,No orders,$0.00,N/A,2025-10-15T13:07:31.790726+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x4ebdefd9e57a3f19305827c75a42d57278cb2882,0xbb8e6477bcb4d0a79449507c607d36fd228fb243,2.567532582,0.5621621622,185,65198.15685,trade,Market 0x8e9b6942...,$111.93,2025-10-15 00:13:39,50,0,20,$0.00,No positions,$0.00,Market 0x8e9b6942...,$111.93,2025-10-15 00:13:39,No orders,$0.00,N/A,2025-10-15T13:13:28.602789+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xb99cc97b541d5a30c92156ef53cfe44cbf1addb6,0x35fa2bb1d86efdaf39abe1c8787f5cf25f252bd4,20.06918125,0.5740740741,108,20945.80855,trade,Market 0xda8ebb9d...,$95.00,2025-10-15 00:13:15,33,0,20,$0.00,No positions,$0.00,Market 0xda8ebb9d...,$95.00,2025-10-15 00:13:15,No orders,$0.00,N/A,2025-10-15T13:09:08.557651+00:00,Very Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xf3b298ff40b3ef0ba85cc4a5b19b3bf46d393b2b,0x35fa2bb1d86efdaf39abe1c8787f5cf25f252bd4,20.06918125,0.5740740741,108,20945.80855,trade,Market 0xda8ebb9d...,$95.00,2025-10-15 00:13:15,33,0,20,$0.00,No positions,$0.00,Market 0xda8ebb9d...,$95.00,2025-10-15 00:13:15,No orders,$0.00,N/A,2025-10-15T13:17:47.883597+00:00,Very Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xda0f4e3f79a50b8601b3cb9d421f48ce11bbf0e7,0xc1f7a546505fa29e6293536878deadeda748c4e5,3.957496946,0.7045454545,88,7362.404105,trade,Market 0xb49ba8a4...,$137.50,2025-10-15 00:11:43,2,0,20,$0.00,No positions,$0.00,Market 0xb49ba8a4...,$137.50,2025-10-15 00:11:43,No orders,$0.00,N/A,2025-10-15T13:11:46.341465+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x265fb5e346a3b8d50f7c36b117682b50a5f5a448,0x3c760e45728e0cb4b68c52980a070314b95fd4ee,7.181241889,0.9024390244,615,16730.27981,trade,Market 0xb7553979...,$93.00,2025-10-15 00:09:45,42,0,20,$0.00,No positions,$0.00,Market 0xb7553979...,$93.00,2025-10-15 00:09:45,No orders,$0.00,N/A,2025-10-15T13:05:32.632628+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x2f70b46893ddbded13dd6dd103b80ad6374c63b2,0xe542afd3881c4c330ba0ebbb603bb470b2ba0a37,6.64359183,0.6538271605,2025,43619.18865,trade,Market 0x0443f59f...,$8.40,2025-10-14 23:53:11,100,0,20,$0.00,No positions,$0.00,Market 0x0443f59f...,$8.40,2025-10-14 23:53:11,No orders,$0.00,N/A,2025-10-15T13:04:09.831544+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x8247f6d658b0afe22414a12e9f6c57058a9dd8cc,0x6f62410c031ece813c1410181b95b2154cc838fc,17.42609007,0.7348484848,132,14002.50573,trade,Market 0x3860f6b0...,$9.64,2025-10-14 23:51:39,3,0,20,$0.00,No positions,$0.00,Market 0x3860f6b0...,$9.64,2025-10-14 23:51:39,No orders,$0.00,N/A,2025-10-15T13:08:15.754067+00:00,Very Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x2ac130ba3b2a5fcff85c62afe18760f45db345db,0x6f62410c031ece813c1410181b95b2154cc838fc,17.42609007,0.7348484848,132,14002.50573,trade,Market 0x3860f6b0...,$9.64,2025-10-14 23:51:39,3,0,20,$0.00,No positions,$0.00,Market 0x3860f6b0...,$9.64,2025-10-14 23:51:39,No orders,$0.00,N/A,2025-10-15T13:18:04.662772+00:00,Very Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xef665608a4f6d4cedc83feddd7aa25843cacb05c,0xdd8e67a862bd81067891ad41e86e9673229ef023,1.265083948,0.5692729767,729,43549.16813,trade,Market 0x6792fbcc...,$300.00,2025-10-14 23:44:15,20,0,20,$0.00,No positions,$0.00,Market 0x6792fbcc...,$300.00,2025-10-14 23:44:15,No orders,$0.00,N/A,2025-10-15T13:05:18.958224+00:00,Smart,daily trader
